npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  1/30/2026 5:40:36 PM ::1 GET /kalender
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 43 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/72e948d0955baf31.css
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 4 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/34f8774358575a1c.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/42a9af97538dabe9.js
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/11fe018d7d0805f3.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/9fc2de9234184b0c.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/turbopack-0757db7c5ac77f32.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/b0a93e25690018a7.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/fe4f92a8b8b755a7.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/c52bb1a1d2cb6593.js
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 7 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 14 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 17 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 16 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 16 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 22 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/7075a05492c59f40.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/9259d9c060bebbab.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/46d56d916ff743c3.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/e35f704fbf214932.js
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 16 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 15 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/954a1ac5c5ef689a.js
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 11 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 12 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 21 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/c1eeeebf39738224.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/90db189ec6e3be30.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/fece0254772a28ba.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/d96012bcfc98706a.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/963c71eec1d89c3f.js
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 15 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 13 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 12 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 14 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 10 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/05403c2e6beda815.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/0d410fd22452cd43.js
 HTTP  1/30/2026 5:40:36 PM ::1 GET /_next/static/chunks/335ba762bfb87e2f.js
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 7 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 4 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /sw.js
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:36 PM ::1 HEAD /template/
 HTTP  1/30/2026 5:40:36 PM ::1 HEAD /template-admin-dan-bunga-bank/
 HTTP  1/30/2026 5:40:36 PM ::1 HEAD /kalender/
 HTTP  1/30/2026 5:40:36 PM ::1 HEAD /transaksi-berulang/
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 12 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 18 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 20 ms
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 10 ms
 HTTP  1/30/2026 5:40:36 PM ::1 GET /kalender/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:36 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /template-admin-dan-bunga-bank/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 GET /template/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 GET /transaksi-berulang/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 1 ms
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /cicilan/
 HTTP  1/30/2026 5:40:37 PM ::1 GET /__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /anggaran/
